winery,country,points,description,designation,Refined-description,CountVectorizer,TF-IDF Vectorizer Column
Borgo del Tiglio,Italy,95,"Elegance, complexity and structure come together in this drop-dead gorgeous winethat ranks among Italy's greatest whites. It opens with sublime yellow spring flower, aromatic herb and orchard fruit scents. The creamy, delicious palate seamlessly combines juicy white peach, ripe pear and citrus flavors while white almond and savory mineral notes grace the lingering finish.",Ronco della Chiesa,Elegance complexity structure come together dropdead gorgeous winethat rank among Italy greatest white It open sublime yellow spring flower aromatic herb orchard fruit scent The creamy delicious palate seamlessly combine juicy white peach ripe pear citrus flavor white almond savory mineral note grace lingering finish,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.14586499149789456, 0.4375949744936837, 0.14586499149789456, 0.14586499149789456]]"
Patricia Green Cellars,US,95,"From 18-year-old vines, this supple well-balanced effort blends flavors of mocha, cherry, vanilla and breakfast tea. Superbly integrated and delicious even at this early stage, this wine seems destined for a long and savory cellar life. Drink now through 2028.",Estate Vineyard Wadensvil Block,From 18yearold vine supple wellbalanced effort blend flavor mocha cherry vanilla breakfast tea Superbly integrated delicious even early stage wine seems destined long savory cellar life Drink 2028,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Patricia Green Cellars,US,95,"A standout even in this terrific lineup of 2015 releases from Patricia Green, the Weber opens with a burst of cola and tobacco scents and accents. It continues, subtle and detailed, with flavors of oranges, vanilla, tea and milk chocolate discreetly threaded through ripe blackberry fruit.",Weber Vineyard,A standout even terrific lineup 2015 release Patricia Green Weber open burst cola tobacco scent accent It continues subtle detailed flavor orange vanilla tea milk chocolate discreetly threaded ripe blackberry fruit,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136]]"
Vignobles Brumont,France,95,This wine is in peak condition. The tannins and the secondary flavors dominate this ripe leather-textured wine. The fruit is all there as well: dried berries and hints of black-plum skins. It is a major wine right at the point of drinking with both the mature flavors and the fruit in the right balance.,Château Montus Prestige,This wine peak condition The tannin secondary flavor dominate ripe leathertextured wine The fruit well dried berry hint blackplum skin It major wine right point drinking mature flavor fruit right balance,"[1, 1, 2, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 2, 3, 1, 1, 1, 1, 1, 1]","[[0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.3244428422615251, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.3244428422615251, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.16222142113076254, 0.48666426339228763]]"
Domaine Serene,US,95,"With its sophisticated mix of mineral, acid and tart fruits, this seductive effort pleases from start to finish. Supple and dense, it's got strawberry, blueberry, plum and black cherry, a touch of chocolate, and that underlying streak of mineral. All these elements are in good proportion and finish with an appealing silky texture. It's delicious already, but give it another decade for full enjoyment. Drink now through 2028.",Grace Vineyard,With sophisticated mix mineral acid tart fruit seductive effort plea start finish Supple dense got strawberry blueberry plum black cherry touch chocolate underlying streak mineral All element good proportion finish appealing silky texture It delicious already give another decade full enjoyment Drink 2028,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2]","[[0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.31622776601683794, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.31622776601683794, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897, 0.15811388300841897]]"
Bergström,US,95,"First made in 2006, this succulent luscious Chardonnay is all about minerality. It's got a rich core of butterscotch and the seemingly endless layers of subtle flavors that biodynamic farming can bring. It spends 18 months on the lees prior to bottling. Drink now through 2028.",Sigrid,First made 2006 succulent luscious Chardonnay minerality It got rich core butterscotch seemingly endless layer subtle flavor biodynamic farming bring It spends 18 month lee prior bottling Drink 2028,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2, 0.2]]"
Hall,US,95,"This blockbuster, powerhouse of a wine suggests blueberry pie and chocolate as it opens in the glass. On the palate, it's smooth and seductively silky, offering complex cedar, peppercorn and peppery oak seasonings amidst its dense richness. It finishes with finesse and spice.",Rainin Vineyard,This blockbuster powerhouse wine suggests blueberry pie chocolate open glass On palate smooth seductively silky offering complex cedar peppercorn peppery oak seasoning amidst dense richness It finish finesse spice,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404, 0.19611613513818404]]"
Valduero,Spain,95,"Nicely oaked blackberry, licorice, vanilla and charred aromas are smooth and sultry. This is an outstanding wine from an excellent year. Forward barrel-spice and mocha flavors adorn core blackberry and raspberry fruit, while this runs long and tastes vaguely chocolaty on the velvety finish. Enjoy this top-notch Tempranillo through 2030.",6 Años Reserva Premium,Nicely oaked blackberry licorice vanilla charred aroma smooth sultry This outstanding wine excellent year Forward barrelspice mocha flavor adorn core blackberry raspberry fruit run long taste vaguely chocolaty velvety finish Enjoy topnotch Tempranillo 2030,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1]","[[0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.3380617018914066, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033, 0.1690308509457033]]"
Château Lagrézette,France,95,"Coming from a seven-acre vineyard named after the dovecote on the property, this is a magnificent wine. Powered by both fruit tannins and the 28 months of new wood aging, it is darkly rich and with great concentration. As a sign of its pedigree, there is also elegance here, a restraint which is new to this wine. That makes it a wine for long-term aging. Drink from 2022.",Le Pigeonnier,Coming sevenacre vineyard named dovecote property magnificent wine Powered fruit tannin 28 month new wood aging darkly rich great concentration As sign pedigree also elegance restraint new wine That make wine longterm aging Drink 2022,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 3, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 2, 1]","[[0.1543033499620919, 0.1543033499620919, 0.3086066999241838, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.3086066999241838, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.1543033499620919, 0.4629100498862757, 0.1543033499620919]]"
Gary Farrell,US,95,"This fresh and lively medium-bodied wine is beautifully crafted, with cherry blossom aromas and tangy acidity. Layered and seductive, it offers a crisp mix of orange peel, cherry, pomegranate and baking spice flavors that are ready for the table or the cellar.",Gap's Crown Vineyard,This fresh lively mediumbodied wine beautifully crafted cherry blossom aroma tangy acidity Layered seductive offer crisp mix orange peel cherry pomegranate baking spice flavor ready table cellar,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 2, 1, 1, 1, 1, 1, 1]","[[0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.3779644730092272, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136, 0.1889822365046136]]"
Heitz,US,95,"Heitz has made this stellar rosé from the rare Grignolino grape since 1961. Ruby grapefruit-red, it's sultry with strawberry, watermelon, orange zest and salty spice flavor, highlighted with vibrant floral aromas.",Grignolino,Heitz made stellar rosé rare Grignolino grape since 1961 Ruby grapefruitred sultry strawberry watermelon orange zest salty spice flavor highlighted vibrant floral aroma,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924, 0.2182178902359924]]"
Muga,Spain,95,"Alluring, complex and powerful aromas of grilled meat, berries, tea, smoke, vanilla and spice cover every base. An intense palate is concentrated but still elegant. Blackberry, molasses and mocha flavors finish with chocolaty oak notes, fine tannins and overall cohesion. Drink this special Rioja from 2020 through 2035.",Prado Enea Gran Reserva,Alluring complex powerful aroma grilled meat berry tea smoke vanilla spice cover every base An intense palate concentrated still elegant Blackberry molasses mocha flavor finish chocolaty oak note fine tannin overall cohesion Drink special Rioja 2020 2035,"[1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1, 1]","[[0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882, 0.17149858514250882]]"
